0.000,1.000,2.000,3.000
0.125,0.372,0.172,0.330
0.062,0.069,0.726,0.143
0.166,0.285,0.166,0.382
0.338,0.195,0.207,0.261
0.096,0.488,0.183,0.233
0.042,0.313,0.191,0.454
0.010,0.317,0.342,0.331
0.123,0.140,0.281,0.456
0.061,0.235,0.192,0.511
0.083,0.155,0.682,0.081
0.000,0.773,0.183,0.045
0.231,0.460,0.186,0.123
0.129,0.454,0.282,0.135
0.071,0.668,0.140,0.120
0.027,0.115,0.708,0.151
0.000,0.279,0.043,0.678
0.000,0.546,0.078,0.375
0.333,0.314,0.196,0.157
0.137,0.225,0.553,0.084
0.256,0.403,0.237,0.105
0.169,0.111,0.686,0.034
0.114,0.668,0.083,0.136
0.193,0.208,0.348,0.251
0.000,0.116,0.200,0.684
0.215,0.157,0.172,0.456
0.176,0.104,0.667,0.052
0.261,0.220,0.238,0.281
0.050,0.365,0.202,0.383
0.137,0.139,0.083,0.641
0.071,0.068,0.523,0.338
0.048,0.748,0.104,0.099
0.063,0.541,0.165,0.231
0.093,0.666,0.120,0.121
0.301,0.331,0.167,0.201
0.109,0.491,0.100,0.299
0.116,0.118,0.421,0.345
0.152,0.124,0.593,0.131
0.013,0.428,0.115,0.444
0.136,0.287,0.119,0.457
0.140,0.150,0.213,0.496
0.038,0.711,0.117,0.134
0.189,0.112,0.045,0.654
0.006,0.506,0.063,0.425
0.180,0.111,0.373,0.336
0.068,0.358,0.402,0.172
0.000,0.219,0.622,0.159
0.087,0.146,0.082,0.684
0.286,0.206,0.191,0.317
0.143,0.128,0.281,0.448
0.365,0.237,0.262,0.136
0.122,0.367,0.364,0.147
0.074,0.315,0.483,0.128
0.039,0.132,0.123,0.706
0.176,0.169,0.379,0.277
0.064,0.129,0.134,0.673
0.245,0.228,0.255,0.272
0.129,0.108,0.136,0.627
0.000,0.020,0.511,0.469
0.000,0.260,0.520,0.220
0.019,0.312,0.465,0.204
0.067,0.292,0.396,0.245
0.010,0.587,0.293,0.111
0.077,0.325,0.367,0.232
0.134,0.116,0.094,0.657
0.246,0.207,0.280,0.267
0.367,0.239,0.147,0.247
0.253,0.258,0.269,0.220
0.071,0.121,0.105,0.703
0.146,0.378,0.376,0.099
