	fopt	sample	xopt
0	21.4190376295	di	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 0.0027824862140065753, 'j': 0.0}
0	183.523624266	dj	{'a': 0.0, 'c': 0.015165956885107195, 'b': 0.0, 'e': 0.0, 'd': 0.9808404249143254, 'g': 0.010139261783791516, 'f': 0.0, 'i': 0.0, 'h': 0.0026367501811840194, 'j': 1.0}
0	5.55777646127e-13	ef	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	1.97955555097	eg	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.9300006533058769, 'd': 0.0, 'g': 0.9304134618607612, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	5.93525228965e-13	eh	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	3.42388639296	ei	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.8779059454279213, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.8772224270659378, 'h': 0.0, 'j': 0.0}
0	5.97966121063e-13	ej	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	4.76235802356	fg	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.8582066902749923, 'f': 0.8591308618245834, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	4.3815195271	fh	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0005592379072603195, 'f': 1.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	5.02608363685	fi	{'a': 0.0006215669971031731, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 1.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	3.83612413807	fj	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0004893458990695616, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	6.46371844937e-13	gh	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	6.41597885931e-13	gi	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
