fourSeven	sevenNine	fourNine	fourSevenNine
FOS	529.022727272727	327.085227272727	787.5625	547.890151515152
PRCP	582.175324675325	582.255681818182	171.794642857143	445.40854978355
VIM	644.090909090909	669.090909090909	25	446.060606060606
MEST	645.581168831169	69.6704545454545	715.160714285714	476.804112554113
TUBA1B	339.63961038961	338.693181818182	296.696428571429	325.00974025974
LUM	0.0357142857142857	6.875	6.91071428571429	4.60714285714286
FTL	1266.80194805195	1158.34659090909	1369.33035714286	1264.8262987013
IGFBP3	318.681818181818	318.681818181818	0	212.454545454545
MAGED2	211.503246753247	293.619318181818	127.758928571429	210.960497835498
H19	509.847402597403	789.267045454545	717.205357142857	672.106601731602
RPL3	1279.3961038961	797.213068181818	1344.24553571429	1140.2849025974
GAPDH	544.909090909091	703.034090909091	580.125	609.356060606061
MEG3	608.529220779221	159.261363636364	737.517857142857	501.769480519481
DCN	0	5.53125	5.53125	3.6875
ERP27	1027.92857142857	50.1875	1078.11607142857	718.744047619048
TUBB	141.746753246753	151.349431818182	130.459821428571	141.185335497835
ITM2B	908.834415584416	930.633522727273	397.013392857143	745.493777056277
RPL5	1311.47402597403	1136.42045454545	1452.80357142857	1300.23268398268
IGFBP7	372.337662337662	468.721590909091	131.241071428571	324.100108225108
CTRB1	595.87012987013	17.2272727272727	578.642857142857	397.246753246753
DDX5	476.084415584416	537.539772727273	319.169642857143	444.26461038961
MYL6	752.821428571429	866.375	483.196428571429	700.797619047619
HSP90AB1	435.928571428571	400.1875	424.116071428571	420.077380952381
C7	0	2	2	1.33333333333333
CTRB2	574.840909090909	24.1534090909091	552.8125	383.935606060606
SYCN	808.431818181818	10.9630681818182	807.03125	542.142045454545
RBPJ	540.266233766234	432.440340909091	819.888392857143	597.531655844156
RPL15	1095.68831168831	982.889204545455	991.486607142857	1023.35470779221
TSC22D1	576.733766233766	520.215909090909	257.767857142857	451.572510822511
RPS18	1165.39935064935	1063.86363636364	894.535714285714	1041.26623376623
SERPINA1	590	189.21875	779.21875	519.479166666667
